MIT-LICENCE,1,0,0,1
china,0,0,8,8
GPL Lv.3,53,0,0,53
Unlicense (Public Domain),0,0,1,1
Confidential and Proprietary,0,0,2,2
Copyright (c) 2016. Haripriyaa Ganesan,0,0,1,1
X11 License,8,0,3,11
SequenceServer (custom),13,0,0,13
Proprietary license.,0,0,3,3
2-clause BSD-style license,11,0,0,11
CECILL,2,0,0,2
http://appverse.org/legal/appverse-license/,0,0,32,32
gpl-3.0,3,0,31,34
LULZ,2,0,0,2
GNU GPLv3,62,0,104,166
Apache,1246,0,3376,4622
common,0,0,1,1
WTFPL v2,3,0,0,3
MIT (http://opensource.org/licenses/MIT),1,0,0,1
ee,0,0,1,1
(MIT OR X11),0,0,5,5
(c) Helpshift Technologies Pvt. Ltd.,0,0,3,3
CC01,0,0,11,11
asl,0,0,2,2
not have,0,0,19,19
Modified BSD License,0,0,16,16
Beerware r42,0,0,17,17
see license,0,0,1,1
Apache License version 1.1|Apache License version 2.0| fileLICENSE[expanded from: Apache License | file LICENSE],0,3,0,3
3-clause (or 'modified') BSD,130,0,0,130
(BSD-3-Clause OR EPL-1.0),0,0,11,11
LGPL-3+,4,0,0,4
Apache v. 2,0,0,17,17
e,0,0,2,2
00,0,0,1,1
gpl2,0,0,3,3
GPL-2+,2,0,0,2
LGPL-3.0+,28,0,771,799
test,0,0,6,6
apachev2,94,0,26,120
SARADHI,0,0,4,4
Apache 2.0 license,0,0,2,2
BSD_3_clause+ fileLICENSE,0,86,0,86
1stdibs,0,0,2,2
LGPL-2.1+,152,0,63,215
New Relic,55,0,0,55
Apache License Version 2,5,0,7,12
(MIT OR Apache-2.0),0,0,829,829
Facebook Platform License,0,0,35,35
mit,113,0,834,947
BSD / GPL,0,0,12,12
rockstar it boyz,0,0,5,5
SEE LICENSE IN ./docs/license.md,0,0,48,48
MIT+ fileLICENSE| Unlimited,0,1,0,1
Salesforce EULA,1,0,0,1
Microsoft Office Extensible File License,0,0,4,4
CRAPL,0,0,5,5
  Apache License,0,0,1,1
Apache2.0,26,0,118,144
CC-BY-NC-SA 3.0,1,0,0,1
Copyright 2014 Joe McIlvain. All rights reserved.,3,0,0,3
MIT +no-false-attribs,0,0,23,23
AGPL,290,6,536,832
(MIT OR BSD-2-Clause OR GPL-3.0),0,0,2,2
MIT Copyright (c) 2015 Jonathan Carter,0,0,1,1
Proprietary,130,0,377,507
AGPLv3.0,0,0,10,10
SITECORE SHARED SOURCE LICENSE,0,0,5,5
EPL MIT http://www.webalys.com,0,0,8,8
as-is,0,0,1,1
CC-SA-BY-3.0,0,0,41,41
Freeware,0,0,1,1
bs,0,0,1,1
GPL-2|GPL-3|FreeBSD[expanded from: GPL (&ge; 2) | FreeBSD],0,1,0,1
RUC,2,0,0,2
OpenFin,0,0,1,1
NO LICENSE,10,0,0,10
Duck,0,0,1,1
AGPL (&ge; 3),0,5,0,5
Yagnus,0,0,1,1
http://supportkit.io/terms.html,0,0,33,33
(MIT AND BSD),0,0,8,8
Spotify Internal,0,0,1,1
Darek Biskupski,3,0,0,3
GPL v3+,43,0,1,44
SEE LICENSE IN EULA,0,0,22,22
GNU LESSER GENERAL PUBLIC LICENSE,3,0,11,14
CC-BY-NC-SA-4.0,16,0,176,192
BSD with attribution,0,0,2,2
See LICENSE,0,0,23,23
Public-domain (Unlicense),0,0,3,3
GNUGPLv3,0,0,10,10
BrowserSpy user license,0,0,1,1
Not,0,0,2,2
MPL GPL,0,0,2,2
Public Domain License,8,0,0,8
https://creativecommons.org/licenses/by-nc-sa/3.0/us/,0,0,1,1
Affero GPL v3,0,0,7,7
CC BY-SA 2.5,0,0,3,3
Redbull 11,1,0,0,1
GPL-2(see fileLICENCE),0,3,0,3
GPL-V2+,4,0,0,4
BSD 3-Clauses,0,0,4,4
straight martiniware,0,0,4,4
Mozilla Public License Version 2.0 (MPL2),5,0,0,5
https://github.com/kjirou/parry/blob/master/LICENSE,0,0,3,3
Bamboolab,40,0,0,40
Copyright (c) 2012 Takashi Toyoshima <toyoshim@gmail.com>,0,0,1,1
ask rethinkdb,0,0,1,1
WTFBPPL,2,0,0,2
GNU GPLV2,0,0,10,10
custom,4,0,10,14
NCSA,26,0,43,69
AGPL-3| fileLICENSE,0,7,0,7
GPL-2 or later,3,0,0,3
GPL-v2,150,0,25,175
SEE LICENSE IN licence.md,0,0,3,3
Mozilla Public License v. 2.0,0,0,116,116
APL/2.0,0,0,1,1
UNLICENCED,0,0,103,103
MIT GPL,0,0,1,1
GPL-2| fileLICENSE,0,33,0,33
Eclipse Public License (EPL),0,0,30,30
Hometrack,0,0,2,2
M.I.T,0,0,4,4
Qualza,0,0,2,2
See License in LICENSE,0,0,67,67
New-BSD,21,0,0,21
MIT & GPL3,0,0,4,4
New BSD License,96,0,41,137
3-Clause-BSD,0,0,13,13
Private License Version 2.0,0,0,94,94
Majac,0,0,5,5
FPL,0,0,7,7
(MIT and GPL-2.0),0,0,5,5
todo,0,0,24,24
(Apache-2.0 OR MPL-1.1),0,0,1,1
APACHE2,1050,0,104,1154
Apache2 OR MIT,0,0,1,1
http://kitak.mit-license.org/,0,0,5,5
AXS,0,0,1,1
http://mit-license.org/luizbills,0,0,1,1
Hubbard Radio LLC,0,0,3,3
SEE LICENSE IN LICENSE file,0,0,16,16
Copyright Elliot Chong 2015+,0,0,3,3
Apache v2 license,0,0,8,8
Apache License v2,55,0,24,79
SIL OFL 1.1,0,0,22,22
BSL-1.0,1,4,120,125
DWHTFYWTPL,1,0,0,1
Copyright © 2016 Udemy Inc,0,0,4,4
ELASTICSEARCH-LICENSE SOFTWARE LICENSE AGREEMENT,2,0,0,2
(GPL-3.0+ AND MIT),0,0,5,5
MIT|GPL-2,0,1,0,1
THE MIT Lincense,0,0,4,4
Refer to LICENSE file,0,0,1,1
Custom license,0,0,11,11
Commercial property,0,0,3,3
Copyright Tabcorp Pty Ltd 2013,0,0,2,2
Jibo,0,0,1,1
GPv2,0,0,1,1
GPLv2 (or later),0,0,5,5
GNU LGPL v3,2,0,0,2
GPL (>= 2),0,0,4,4
Copyright (c) 2016 Dollar Shave Club Inc.,0,0,5,5
GNU3,1,0,8,9
Closed Source,0,0,25,25
(BSD-2-Clause) MIT,0,0,43,43
licence@mahendrasengar,0,0,2,2
Mohammad Mahmoudi(@mm580486),1,0,0,1
(CC0-1.0 OR MIT),0,0,44,44
we,0,0,2,2
GPL (&ge; 3),0,516,0,516
SEE LICENCE IN LISENCE,0,0,3,3
zlib/libpng,48,0,7,55
none,247206,0,568,247774
CC-BY 4.0,1,0,4,5
EAPM,0,0,11,11
BSD,3806,11,47732,51549
SEE LICENSE,0,0,8,8
GPLv2.0,0,0,16,16
pera,0,0,1,1
NAGA,0,0,2,2
(MIT OR GPL-2.0),0,0,207,207
CC-BY-NC-SA 4.0,3,0,2,5
Copyright (c) Pivotal Software Inc.,40,0,0,40
LGPL,989,0,1637,2626
EULA,1,0,0,1
Public,0,0,30,30
MIT: http://hfm.mit-license.org,1,0,0,1
APLv2,327,0,40,367
MIT license,34,0,87,121
EPL+EDL,0,0,23,23
Comertial Open Source,0,0,1,1
EUPL-1.1,26,0,385,411
copyleft-next-0.3.1,0,0,2,2
eSpeakers,0,0,1,1
IST,0,0,6,6
SEE LICENCE IN LICENSE.txt,0,0,1,1
null;,0,0,1,1
Creative Commons 3.0,0,0,3,3
GNE (use for Good Not Evil),0,0,3,3
2013-2017,0,0,9,9
(GPL-3.0 OR LGPL-2.1),0,0,4,4
cc-by-sa,0,0,2,2
Rapid Feedback Team (RFT),0,0,1,1
(MIT OR OFL-1.1),0,0,1,1
verifi,1,0,0,1
Apache License v2.0,15,0,1763,1778
WTFP,13,0,0,13
Copyright 2014 MeZine Inc.,0,0,3,3
UPL-1.0,0,0,30,30
GNUV2,0,0,1,1
MIT (X11),0,0,11,11
agplv3,0,0,11,11
Public Domain. CC0 where applicable.,0,0,1,1
(MIT OR RUMI),0,0,70,70
MS-RL,74,0,0,74
AGPLv3,264,0,430,694
BSD 2-Clause License,3,0,4,7
Apache Licence,0,0,2,2
Modified BSD,40,0,1,41
MIC,0,0,18,18
Krailit Pongrujaporn,0,0,1,1
MIT <http://thompsonemerson.mit-license.org>,0,0,1,1
Creative Commons BY-NC-SA License 3.0,0,0,2,2
GNU GPL V3,1,0,32,33
see each plugin,3,0,0,3
You want it?  Its yours.,1,0,0,1
LICENCE.txt,3,0,0,3
none free giffo,0,0,8,8
public domain,13,0,188,201
https://github.com/Smithsonian/edanrb/blob/master/license.md,2,0,0,2
trtr,0,0,1,1
Free as in Hugs License,0,0,2,2
Clock,0,0,4,4
Pending,0,0,3,3
GPL-2.0-,0,0,1,1
Mobiquity Inc.,2,0,0,2
GPL-2|GPL-3[expanded from: GPL (&ge; 2)] (see fileLICENSE),0,9,0,9
sf,0,0,1,1
BeerWare,5,0,30,35
GNU-v3,0,0,1,1
TODO,16,0,5,21
Ruby 1.8,45,0,0,45
binarik,0,0,1,1
Creative Commons 1.0 Universal,0,0,2,2
GNU Affero General Public License version 3.0,7,0,0,7
IBM,0,0,17,17
LPGL-3,4,0,0,4
C0,0,0,3,3
GNU General Public License,11,0,88,99
apache,93,0,54,147
GNU GENERAL PUBLIC LICENSE,24,0,64,88
ODbL,0,0,13,13
Dunno,0,0,3,3
MIT-Expat,0,0,10,10
COPYRIGHT (c) 2014 TrackJS LLC ALL RIGHTS RESERVED,0,0,18,18
GNU - General Public License,9,0,0,9
SEE LICENCE IN Licence.md,0,0,4,4
UIT,0,0,1,1
MIT Copyright (c) 2015 Austin Eldridge,0,0,7,7
LGPLv2.1 or later,377,0,0,377
BSD(see fileLICENSE),0,2,0,2
MIT Lisence,0,0,7,7
GPLv2 or later,12,0,7,19
MP,0,0,7,7
Non Free,0,0,2,2
sierra sdk licence,0,0,3,3
LGPL-2|LGPL-2.1| fileLICENSE[expanded from: LGPL (&ge; 2.0 &lt; 3) | file LICENSE],0,1,0,1
all of them,5,0,0,5
LGPL + unRAR,8,0,0,8
SEE LICENSE IN LICSENSE,0,0,25,25
qwe,0,0,1,1
GNU AFFERO GENERAL PUBLIC LICENSE,5,0,15,20
(c)2013 Don Cruse,1,0,0,1
Open Source License,0,0,3,3
husor,0,0,19,19
Behnam,0,0,1,1
Copyright © Luca Di Vincenzo,0,0,3,3
SOME,1,0,0,1
ISB,0,0,2,2
YY,0,0,14,14
Apache License 2.0,7,0,4,11
two-clause BSD,7,0,0,7
Hello Kitty,0,0,1,1
See license in LICENSE.md,0,0,754,754
See license in LICENSE.TXT,0,0,1,1
bsd-2-clause,0,0,1,1
Boost,21,0,37,58
MSU,4,0,0,4
Copyright 2014 uh-sem-blee Co.,0,0,58,58
NonLicensed,0,0,3,3
GLPv2,1,0,0,1
SEE LICENSE IN copyright.txt,0,0,1,1
GPL-2,1421,2087,88,3596
CC-NC-SA-4.0,0,0,1,1
WFTPL,0,0,3,3
Apache License Version 2.0.,1,0,0,1
CBA,0,0,1,1
No license,0,0,4,4
(ISC),0,0,28,28
MIT License (Expat),2,0,0,2
Copyright (c) 2013 salesforce.com,7,0,0,7
(MIT OR CC0-1.0),0,0,13,13
Tidepool,0,0,1,1
Augmentis,0,0,1,1
GPL v2.0,24,0,1,25
Dontcare,0,0,3,3
MPL/LGPL,4,0,0,4
BSD (2-Clause),4,0,0,4
GPLv2 / GPLv3 / LGPLv3,0,0,2,2
CC-BY-NC-3.0,0,0,96,96
Ruby or LGPLv3+,25,0,0,25
http://www.featureblend.com/license.txt,0,0,1,1
LML,0,0,5,5
Copyright 2015 Workfront,0,0,6,6
CC-BY-SA 4.0,0,0,1,1
MIT AND OFL-1.1,0,0,4,4
Copyright AdeptMobile 2015,0,0,2,2
Apache V2.0,0,0,77,77
SEE LICENSE IN ORLA.txt,0,0,5,5
Unknown,3,0,0,3
IBM Copyright,0,0,1,1
Creative Commons Attribution Non-Commercial Share Alike,0,0,1,1
(ISC OR MIT),0,0,1,1
See license in LICENSE,0,0,11,11
BLT,0,0,11,11
SEE LICENSE IN NSP-LICENSE.md,0,0,2,2
sanpi,0,0,2,2
ateoa,0,0,1,1
GPL (&ge; 3.0.0),0,1,0,1
Apache License Version  2.0,0,0,6,6
(AGPL OR Commercial),0,0,1,1
GNU GPLv3 and AGPLv3,7,0,0,7
MPL V2,0,0,17,17
LICENSE SEE LICENSE,0,0,2,2
GNU v3.0,13,0,0,13
GNU GPLv3+,0,0,1,1
DWTFYWTPL,2,0,0,2
kj,0,0,1,1
Apache License V2.0 - 2014,0,0,3,3
CPL,1,1,0,2
CC0 1.0 Universal License,0,0,9,9
GPL-2|GPL-2|GPL-3|GPL-3[expanded from: GPL-2 | GPL (&ge; 2) | GPL-3],0,1,0,1
CeCILL-B,6,0,0,6
ISCsad,0,0,2,2
(MIT or Apache-2.0),0,0,1,1
THIS IS MY LICENSE. :),1,0,0,1
SEE LICENSE IN LICENSE,1,0,3303,3304
https://www.perfectyan.com,0,0,1,1
X.Net,0,0,19,19
Expat,33,0,13,46
Revised BSD see LICENSE.md,6,0,0,6
XYZ,0,0,1,1
http://license.azuretalon.com,3,0,0,3
Free License,9,0,0,9
 MIT ,5,0,0,5
MPL (== 2.0),0,5,0,5
LGPL-2.1|LGPL-3[expanded from: LGPL (&ge; 2.1)],0,33,0,33
BSD-Like,0,0,6,6
GPL (&ge; 2.15),0,1,0,1
PRAWN,9,0,0,9
234,0,0,1,1
zlib like,0,0,17,17
LGPL-2|LGPL-2.1|MPL version 1.0|MPL version 1.1|MPL version 2.0[expanded from: LGPL (&ge; 2.0 &lt; 3) | Mozilla Public License],0,2,0,2
Public Domain (Unlicense),0,0,27,27
MIS,0,0,29,29
Open Works License 0.9.2,3,0,0,3
SEE LICENSE IN LICENSE.txt,0,0,1266,1266
GPL v2+,13,0,2,15
Apache-2,159,0,1296,1455
Apache version 2.0,0,0,821,821
Please find the README.md file for license information,0,0,1,1
Ebizu,0,0,16,16
GPL3,350,0,458,808
Creative Commons License 2.5,0,0,1,1
Apache+OFL+PD,0,0,14,14
GNU-GPL v2,0,0,7,7
(BSD) MIT,0,0,19,19
LicenseRef-LICENSE,0,0,660,660
 GPL-2.0+,0,0,3,3
Copyright Sebastian Ware,0,0,24,24
Any GPL or MIT,4,0,0,4
RUBY,43,0,0,43
AGPL v3.0,0,0,5,5
Crowley Licence 1.0 see included LICENCE.txt,0,0,4,4
type:gplv2 url:http://www.example.org/licenses/gpl.html,0,0,1,1
Non-standard,1,0,0,1
risepay,3,0,0,3
GNU-GPL,3,0,13,16
GPL-2|MIT+ fileLICENCE,0,1,0,1
http://tympanus.net/codrops/licensing/,2,0,0,2
Apache-2.0+,0,0,1,1
Copyright (c) 2015 tCell.io (see LICENSE file),27,0,0,27
SEE LICENSE.md,0,0,29,29
Open Parliament License,31,0,0,31
(BSD-3-Clause OR CC-BY-3.0),0,0,4,4
beerware,14,0,42,56
classic,0,0,2,2
Data licence Germany – attribution – Version 1.0,1,0,0,1
WTFPL ( http://www.wtfpl.net/ ),0,0,5,5
https://gojs.net/latest/doc/license.html,0,0,21,21
MIT or GPL-2.0,0,0,5,5
GNU General Public License (&ge; 3),0,3,0,3
SEE LICENSE IN licence.txt,0,0,3,3
GNU/PGLv3,0,0,4,4
see LICENSE,0,0,148,148
Apache2,784,0,2268,3052
THE BEER-WARE LICENSE,0,0,36,36
BSD MIT WTFPL CC-BY pick what you prefer,0,0,3,3
Ulysses Lin,20,0,0,20
(BSD)MIT,0,0,4,4
GPL-3| fileLICENSE,0,61,0,61
apache-license-2.0,0,0,2,2
(Apache-2.0 OR WTFPL),0,0,2,2
OneApm,41,0,0,41
3-clause BSD,49,0,25,74
AdminZ,1,0,0,1
SEE LICENSE IN <license>,0,0,1,1
Perl Artistic v2,1,0,0,1
GPL-3+,65,0,0,65
perl,0,0,3,3
BOOST,0,0,2,2
Apache License 2.0.,0,0,34,34
adPlay,0,0,9,9
All rights reserved Dr. Nawwaf Kharma (http://drkharma.com),0,0,34,34
GPL-3,1405,1568,407,3380
MPL 1.1/GPL 2.0/LGPL 2.1,7,0,0,7
(BSD-3-Clause OR GPL-2.0),0,0,13,13
ASIS,0,0,7,7
Giant Penis License(GPL),0,0,16,16
BSL1.0,0,0,1,1
HotDot Open Source License,0,0,1,1
GPL-2|GPL-3|BSD_3_clause+ fileLICENSE,0,1,0,1
MIG,0,0,1,1
ISD,0,0,3,3
Public domain,54,0,176,230
Oknosoft,0,0,6,6
empty,0,0,3,3
Do what you want. Anything goes. The web will keep track.,0,0,5,5
TBC,0,0,21,21
MY,0,0,1,1
future,1,0,0,1
GPL - V2,0,0,1,1
mobinius,0,0,5,5
MIT or Boost Software License,0,0,8,8
GNU General Public License version 3,0,0,1,1
Ruby Exercise,1,0,0,1
OSISoft LLC,11,0,0,11
BSD3,163,0,381,544
SEE LICENSE IN LICENSE.pdf,0,0,20,20
Apache v.2,1,0,0,1
ICU4J,0,0,2,2
wjhong,1,0,0,1
Free Free Free,0,0,2,2
LicenseRef-LICENSE.md,0,0,8,8
The BSD 3-Clause License,12,0,0,12
See LICENSE file,2,0,7,9
copyright by shuitiankeji,0,0,1,1
GFDL-1.2,0,0,3,3
Dojo,0,0,31,31
@ystk_yrk & UNITED ARROWS LTD.,0,0,3,3
Open Database License,0,0,1,1
DBAD,0,0,177,177
CC-BY 2.0,4,0,7,11
Alan Corp,4,0,0,4
0BSD,3,0,22,25
Apache License (== 2.0)| fileLICENSE,0,5,0,5
see license in license.md,0,0,5,5
CC BY-SA v3.0,0,0,1,1
GPL-2|LGPL-2.1|MPL-1.1,0,1,0,1
all rights reserved,0,0,15,15
Apache-V2,0,0,6,6
BSD 3-clause,141,0,39,180
OSL3,1,0,0,1
Hubub,0,0,2,2
X11,8,0,253,261
MIT-Style,0,0,7,7
BSD + ISC,0,0,4,4
WFYBPL,0,0,6,6
See LICENSE.txt and COPYING.txt,5,0,0,5
Apache Public License (version 2),0,0,1,1
See https://github.com/danlucraft/swt/blob/master/LICENSE,4,0,0,4
BSD 1.0,0,0,2,2
MIT +no-false-attribs +no-advertising License,0,0,34,34
artistic,0,0,1,1
https://opensource.org/licenses/Apache-2.0,1,0,0,1
Released under the MIT BSD and GPL Licenses,0,0,1,1
(GPL-2.0 OR GPL-3.0),0,0,12,12
GPL2+,8,0,29,37
DPL,7,0,0,7
MIT OR GPL-3.0,0,0,1,1
Copyright (c) 2012 (see LICENSE),0,0,6,6
DO-WHAT-YOU-WANT,0,0,2,2
(LGPL-2.1+ OR GPL-2.0),0,0,8,8
2014.11.05,0,0,1,1
zlib,45,0,153,198
GPL-V3,0,0,24,24
NLPL,0,0,1,1
SEE LICENSE IN <LICENSE.txt>,0,0,24,24
Copyright 2015 UMyProto Team,0,0,10,10
https://github.com/RubySteps/rubysteps/blob/free/LICENSE.md,4,0,0,4
unknown,4,0,4,8
LGPL 3 or later,0,0,1,1
MIT	,2,0,0,2
USE AT YOUR OWN RISK.,0,0,1,1
https://smooch.io/terms/,6,0,0,6
Aurora,1,0,0,1
Data licence Germany attribution version 1.0,1,0,0,1
Free-for-all,0,0,2,2
undeclared,4,0,0,4
Apache License 2.0 MIT (for parser),0,0,2,2
CC NC-SA 4.0,3,0,0,3
CCBY,0,0,1,1
BSD-3-Clause,1553,0,33846,35399
apache 2.0,0,0,226,226
MIT Expat,6,0,10,16
All right reserved.,153,0,1,154
unlicense,0,0,537,537
ClickSoftware LTD,0,0,4,4
ozdemirkan,0,0,2,2
lllllllll,0,0,1,1
tbc,1,0,0,1
Per code documentation header as-is,0,0,1,1
SEE LICENSE IN LICENSE.Flora,0,0,4,4
GPL-2 and/or others,18,0,0,18
apache common,0,0,1,1
ASLv2,12,0,24,36
GPL v2-3 & MIT,0,0,81,81
MIT X,0,0,2,2
BSD and MIT,5,0,0,5
BSD 2,4,0,1,5
GLP-2.0+,0,0,1,1
e7,0,0,1,1
lindongfang,0,0,2,2
LGPL 3,1,0,75,76
GPLV2,1,0,7,8
See LICENSE.,3,0,0,3
The Software shall be used for Good not Evil. (see LICENSE),0,0,22,22
GPL-2|GPL-3|BSD_2_clause+ fileLICENSE[expanded from: GPL (&ge; 2) | BSD_2_clause + file LICENSE],0,3,0,3
yahoo-internal,0,0,4,4
AGPL-3,41,44,26,111
Public Domain (UNLISCENSE),0,0,4,4
MIT <http://bankfacil.mit-license.org>,0,0,3,3
(MIT),0,0,130,130
(GPL-3.0 OR Apache-2.0),0,0,2,2
(C) Xtralife.cloud 2015,0,0,11,11
MIT Copyright (c) 2013 Michael Schoonmaker,0,0,3,3
TMA-FALCO,0,0,91,91
Ruby-1.8,22,0,0,22
Cisco,0,0,1,1
EGG,0,0,12,12
University of Illinois/NCSA Open Source License (NCSA),1,0,0,1
WTFPL - http://www.wtfpl.net/,0,0,12,12
You want it its yours,5,0,0,5
SEE LICENSE IN Intune_App_SDK_Cordova_plugin_RTM_license.pdf,0,0,7,7
Public domain(unlicense),0,0,112,112
Creative Commons Attribution,0,0,2,2
CC BY-SA 3.0,52,0,15,67
Tridium Open Source License,0,0,4,4
(MIT AND GPL-2.0),0,0,2,2
strictly private,0,0,2,2
BSD-3-Clause OR MIT,0,0,1,1
GNU GPL v3 (or later),1,0,0,1
GPLv2/LGPL,0,0,7,7
GPL-V3.0,0,0,12,12
GPL (&gt; 2),0,12,0,12
https://github.com/lujintan/clitookit/blob/master/LICENSE,0,0,2,2
http://editor.surveyjs.io/license.html,0,0,8,8
 MS-PL,0,0,7,7
EPL 1.0 or GPL >= 2.0,0,0,7,7
WTFPL,1109,0,7285,8394
Lesser GPL,0,0,1,1
MIT License,182,1,1158,1341
all rights reserved by fe@sankuai,0,0,1,1
(c) Fred Appelman,1,0,0,1
LOVE,0,0,1,1
None (Public Domain),5,0,2,7
Commercial (TODO),0,0,1,1
superjunjin,0,0,5,5
(MIT AND CC-BY-3.0),0,0,8,8
SPDX,0,0,1,1
Daffodil software ltd.,0,0,4,4
EPL LGPL,0,0,11,11
MPL version 1.0|MPL version 1.1|MPL version 2.0[expanded from: MPL],0,1,0,1
CC BY SA 4.0,1,0,0,1
Fair,0,0,443,443
ALIBABA GROUP,0,0,6,6
Copyright 2013 geedew <drew@geedew.com>,0,0,2,2
See LICENSE.txt file,0,0,2,2
Apache License version 2,14,0,0,14
SEE LICENSE IN LICENCE.txt,0,0,2,2
Copyright (C) 2014 Keas -- All rights reserved,1,0,0,1
Eclipse Public License,10,0,2,12
UPL,0,0,1,1
MIT OR Good-Boy,0,0,1,1
apHarmony,0,0,1,1
Kopimist,0,0,10,10
SEE LICENSE IN license,0,0,4,4
(Apache-2.0),0,0,177,177
LICENSE IN License.md,0,0,40,40
GPL-2(see fileLICENSE),0,2,0,2
Apache-2.0 APL-1.0,0,0,3,3
Apache License Version 2.0.,76,0,0,76
123344444,0,0,1,1
I donno,1,0,0,1
QPL - See LICENSE at https://github.com/ocaml/ocaml,0,0,1,1
CC0-1.0,168,0,3381,3549
GNU GLP v3.0,0,0,1,1
Distributes under the same terms as ruby.,2,0,0,2
MIT License http://www.opensource.org/licenses/MIT,0,0,26,26
See license.txt,2,0,7,9
Azure License,1,0,0,1
EPL v1.0,0,0,1,1
LGPL v2.1,55,0,16,71
simple,0,0,10,10
FOSSL-G,0,0,3,3
SEE LICENSE IN License.md,0,0,861,861
Apache License V2.0,165,0,19,184
internal,0,0,1,1
Amazon Software License,11,0,0,11
do whatever you want,0,0,1,1
MotionRecall,0,0,10,10
GPL 2+_,0,0,1,1
Appunfold,0,0,28,28
http://www.fusioncharts.com/buy/,0,0,8,8
woshiwentan,0,0,2,2
Open Software Licence v3.0,17,0,0,17
Lean,15,0,0,15
https://walletkit.com/legal,1,0,0,1
CLOSED SOURCE,0,0,9,9
 MIT,0,0,110,110
BSD 3 clause,46,0,0,46
LGPL-2.1|LGPL-3[expanded from: GNU Lesser General Public License],0,1,0,1
PSFL,25,0,0,25
BSD-2-clause,0,0,150,150
UNLISENCED,0,0,3,3
Apache Public License 2.0,68,0,0,68
Appcelerator Commercial License,0,0,33,33
GNU AGPLv3,0,0,7,7
MIT/X,0,0,19,19
license.md,5,0,1,6
http://thompsonemerson.mit-license.org,0,0,2,2
See License File,0,0,12,12
SEE LICENSE IN LICENCE.pdf,0,0,1,1
MPL v2.0,0,0,111,111
Copyleft 2015,0,0,13,13
MSFT MIT-like,0,0,17,17
GPL (&ge; 3)+ fileLICENSE,0,2,0,2
EPL (Eclipse public licence),0,0,7,7
https://github.com/mapbox/gridmonger/blob/master/LICENSE.txt,0,0,4,4
GNU Affero General Public License version 3,16,0,0,16
3000,0,0,1,1
MPL-1.1 OR LGPL-2.1,0,0,1,1
MIN,0,0,1,1
ngo.nguyen,0,0,3,3
Eclipse Public License + Eclipse Distribution License,0,0,38,38
meishij,0,0,2,2
SIT,24,0,0,24
Copyright 2017 Vensi Inc.,0,0,2,2
LGPL v3.0,3,0,0,3
